,World,World,World,USA,USA,USA,India,India,India,Brazil,Brazil,Brazil,Russia,Russia,Russia,Colombia,Colombia,Colombia,Peru,Peru,Peru,Chile,Chile,Chile,Germany,Germany,Germany
,Data,Prediction,Daily,Data,Prediction,Daily,Data,Prediction,Daily,Data,Prediction,Daily,Data,Prediction,Daily,Data,Prediction,Daily,Data,Prediction,Daily,Data,Prediction,Daily,Data,Prediction,Daily
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-01,948663,,,214205,,,1998,,,6836,,,2777,,,1065,,,1323,,,3137,,,77872,,
2020-04-02,1030010,,,244610,,,2543,,,8044,,,3548,,,1161,,,1414,,,3510,,,84794,,
2020-04-03,1113203,,,276547,,,2567,,,9056,,,4149,,,1267,,,1595,,,3843,,,91159,,
2020-04-04,1193711,,,309699,,,3082,,,10360,,,4731,,,1406,,,1746,,,4355,,,96092,,
2020-04-05,1265377,,,337573,,,3588,,,11130,,,5389,,,1485,,,2281,,,4665,,,100123,,
2020-04-06,1338067,,,367215,,,4778,,,12161,,,6343,,,1579,,,2561,,,5009,,,103374,,
2020-04-07,1415186,,,397992,,,5311,,,14034,,,7497,,,1780,,,2954,,,5310,,,107663,,
2020-04-08,1498895,,,429686,,,5916,,,16170,,,8672,,,2054,,,4342,,,5740,,,113296,,
2020-04-09,1585483,,,464442,,,6725,,,18092,,,10131,,,2223,,,5256,,,6166,,,118181,,
2020-04-10,1672988,,,497943,,,7598,,,19638,,,11917,,,2473,,,5897,,,6695,,,122171,,
2020-04-11,1749872,,,527969,,,8446,,,20727,,,13584,,,2709,,,6848,,,7366,,,124908,,
2020-04-12,1846819,,,556522,,,9205,,,22192,,,15770,,,2776,,,7519,,,7652,,,127854,,
2020-04-13,1916464,,,581813,,,10453,,,23430,,,18328,,,2852,,,9784,,,7964,,,130072,,
2020-04-14,1986284,,,608878,,,11487,,,25262,,,21102,,,2979,,,10303,,,8356,,,131359,,
2020-04-15,2067245,,,637974,,,12322,,,28320,,,24490,,,3105,,,11475,,,8712,,,134753,,
2020-04-16,2163941,,,669272,,,13430,,,30425,,,27938,,,3233,,,12491,,,9246,,,137698,,
2020-04-17,2251672,,,701996,,,14352,,,33682,,,32008,,,3439,,,13489,,,9691,,,141397,,
2020-04-18,2325485,,,730266,,,15722,,,36658,,,36793,,,3621,,,14420,,,10598,,,143342,,
2020-04-19,2406054,,,756544,,,17615,,,38654,,,42853,,,3792,,,15628,,,10956,,,145184,,
2020-04-20,2479522,,,783931,,,18539,,,40743,,,47121,,,3977,,,16325,,,11375,,,147065,,
2020-04-21,2554727,,,809295,,,20080,,,43079,,,52763,,,4149,,,17837,,,11700,,,148291,,
2020-04-22,2631781,,,837627,,,21370,,,45757,,,57999,,,4356,,,19250,,,12164,,,150648,,
2020-04-23,2720583,,,871617,,,23077,,,50036,,,62773,,,4561,,,20914,,,12680,,,153129,,
2020-04-24,2807495,,,907908,,,24530,,,54043,,,68622,,,4881,,,21648,,,13174,,,154999,,
2020-04-25,2892296,,,940829,,,26283,,,59324,,,74588,,,5142,,,25331,,,14537,,,156513,,
2020-04-26,2965076,,,968518,,,27890,,,63100,,,80949,,,5379,,,27517,,,15010,,,157770,,
2020-04-27,3034072,,,990983,,,29451,,,67446,,,87147,,,5597,,,28699,,,15492,,,158758,,
2020-04-28,3109425,,,1015518,,,31324,,,73235,,,93558,,,5949,,,31190,,,16044,,,159912,,
2020-04-29,3186589,,,1043038,,,33062,,,79685,,,99399,,,6207,,,33931,,,16564,,,161539,,
2020-04-30,3270117,,,1072667,,,34863,,,87187,,,106498,,,6507,,,36976,,,17702,,,163009,,
